1,7031,0.000000
3,27982,0.000000
2,27040,0.000000
3,9294,0.000000
1,8855,0.000000
3,17702,0.000000
0,10450,0.000000
2,18175,0.000000
1,3382,0.000000
3,38,0.000000
3,68,0.000000
3,29794,1.789307
2,1255,1.457265
1,30119,0.000000
3,21578,2.674896
2,8489,0.038241
1,5206,0.000000
3,27271,0.244445
2,25717,0.870327
3,29794,1.789307
3,21578,2.674896
0,5853,2.789406
1,58,0.000000
2,1164,0.462983
1,8365,0.000000
2,25717,0.870327
1,21238,0.000000
3,2790,2.456535
2,1255,1.457265
2,24050,2.787925
3,21578,2.674896
3,4561,3.322088
2,13440,3.414082
0,27217,0.000000
2,20452,3.887466
1,23933,0.101308
3,4588,7.339778
0,11216,0.000000
2,24983,4.073155
1,4522,0.369344
2,18891,5.012500
0,3609,0.000000
2,21655,0.087577
1,5409,1.023578
2,1164,0.462983
2,25717,0.870327
1,28272,1.374702
2,30711,3.197131
1,16574,2.494186
0,48,0.000000
1,18909,1.040286
1,28272,1.374702
1,16574,2.494186
2,2446,0.980824
1,12389,2.661257
2,30711,3.197131
0,10450,0.000000
2,11215,3.549869
1,20683,2.824059
1,28201,3.261249
1,16907,2.712554
0,26193,0.046643
1,20683,2.824059
0,26980,0.639303
0,2997,0.727692
1,28201,3.261249
1,28616,3.286127
2,29792,4.651524
0,28881,0.974170
1,3178,3.890368
0,3321,1.142003
1,7544,3.922310
1,4966,4.632175
1,11227,4.726952
0,23659,1.545289
1,1142,5.607852
1,9317,5.679790
1,11649,2.853771
0,5540,1.854064
1,28201,3.261249
0,18812,2.219133
2,29342,3.135505
1,28616,3.286127
0,11449,2.544144
2,30711,3.197131
2,11215,3.549869
0,13505,2.845911
1,3178,3.890368
2,29792,4.651524
1,7544,3.922310
2,4831,4.094050
2,29792,4.651524
0,12853,3.048171
1,32714,4.324205
1,8404,4.547079
0,5598,3.063828
2,15260,3.796664
1,4966,4.632175
2,4831,4.094050
2,29792,4.651524
1,11227,4.726952
2,12467,4.814831
2,2661,7.631816
1,1142,5.607852
2,25949,5.124153
1,9317,5.679790
0,2004,3.165534
2,2661,7.631816
2,2328,8.634213
1,6650,5.899043
2,26655,8.953930
2,12647,9.400801
0,14136,3.181675
1,21645,5.964474
0,7480,3.289742
1,14166,6.137671
1,14339,6.340921
2,27149,6.341330
2,2661,7.631816
2,2328,8.634213
0,7629,3.395173
1,31700,7.006727
2,30540,7.717602
0,19549,3.618518
1,7179,7.512647
2,2328,8.634213
1,20533,3.676312
2,24940,9.275630
2,15720,7.739886
0,12220,3.891529
0,18400,3.914092
2,2328,8.634213
1,3178,3.890368
1,7544,3.922310
2,24940,9.275630
1,7065,4.481198
1,915,4.890283
2,3365,9.630808
1,13983,5.420670
1,12236,5.422898
2,27087,4.545668
0,2331,3.986111
2,29792,4.651524
1,21067,6.696699
1,28839,8.353459
2,26846,7.783655
1,12059,4.942793
0,28871,4.062154
1,13983,5.420670
1,12236,5.422898
1,1713,5.766386
1,21067,6.696699
1,11633,8.210958
0,2933,4.117850
1,28839,8.353459
0,5381,4.687223
1,2804,8.540062
0,6833,4.785215
0,30181,4.843296
1,25359,8.805779
1,16293,9.709506
0,13033,4.871761
0,17335,5.288346
0,25727,5.572851
0,14053,5.902026
0,11819,6.671201
0,29962,6.720763
0,3835,6.818335
0,17124,6.934882
0,25666,7.291035
0,30807,7.486464
0,1768,7.571122
0,23009,8.517145
0,10747,8.637994
0,8811,8.645571
0,9047,8.735729
0,31764,9.622127
0,31081,9.841062
0,21788,9.870019
