0, -0.574359, 0.113805, 0.0973968, 0.529229, -2.82622, -6.9315, 1.84075, -0.0823889, 0.249573, -0.819867, 0.654549, 0.0196784, -2.39171, 2.29076, -1.19406, -0.0274847, 1.11331, 4.56445, 0.914392, 1.98707, 2.46971, -0.395004, -5.24575, 2.7949, -1.04056, 3.39912, 0.876752, -1.97309, 1.92698, -0.114077, -0.701671, -1.16308, -1.40783, -0.469358, -1.11955, -0.260917, 9.1777, -0.718302, -1.15596, 4.07667, -5.2119, 1.47759, 0.554125, -3.65959, 0.282374, -0.737797, 4.01032, 0.44973, 1.63484, -0.646401, -1.498, 0.915823, -3.68281, -5.64957, 0.523284, -7.08643, -2.32353, 0.167866, -1.32409, 2.32312, -0.240553, 0.337886, 0.573834, -0.166646, -0.842118, -2.34986, -2.62445, -5.5609, -2.13558, -7.91727, -4.61869, -0.802247, 3.72444, 2.45737, 4.24927, -5.38356, 0.854068, 5.85707, 4.85447, -4.09, 1.96349, -2.29375, 0.32821, 0.30961, 2.2284, -3.50071, 0.300519, 0.0570177, -0.972276, -0.0336042, -1.69972, -0.651672, -1.04333, -0.314465, 12.1296, -4.14572, -4.22157, 0.0386162, 1.2316, -0.156173, 2.45844, -3.55786, 3.50256, -4.46457, 0.000531202, 1.43281, 0.338227, 0.374041, -2.24311, -1.1887, -2.45771, -2.53248, 1.69207, 5.15813, -6.34885, -7.48114, -2.35588, -0.612327, -0.100821, 5.42773, 0.0777825, -0.00897211, 2.3577, -4.74042, -0.00493569, -0.364941, 0.800856, 0.227528, 3.07249, 0.65177, -0.658442, -1.08014, -0.201631, 1.40076, 1.08521, -0.0515741, -5.90414, 1.71759, 0.124569, 0.175991, -5.83472, -2.0133, -1.46639, -0.508784, -5.64398, 3.66019, -1.30754, 3.35549, 1.53339, -0.064331, 1.69809, -1.62499, -2.88504, -2.82887, -1.48756, 3.63163, 3.44844, -5.14837, -1.51686, 3.45929, -5.89863, 1.57404, 1.43735, -4.10418, 0.128994, -3.54426, -0.0765175, -0.0617473, 0.724277, -0.865923, 3.40667, -1.95399, 0.169811, 0.521208, -4.27328, 1.42045, -0.127215, 0.674029, 0.156326, -0.0231132, 0.0994124, -0.0720528, -0.503355, -1.38434, 2.35502, 3.15013, -0.0394736, -0.597599, 4.798, 3.03743, 0.314569, 0.403184, -0.530566, -3.59107, -1.40677, 1.82214, 1.06323, 1.73084, 1.5576, 1.73873,
1, -1.14872, 0.227609, 0.194793, 1.05846, -5.65244, -13.863, 3.68151, -0.164778, 0.499145, -1.63973, 1.3091, 0.0393563, -4.78341, 4.58151, -2.38812, -0.0549699, 2.22661, 9.1289, 1.82878, 3.97413, 4.93942, -0.790007, -10.4915, 5.58981, -2.08112, 6.79823, 1.7535, -3.94619, 3.85395, -0.228155, -1.40334, -2.32616, -2.81566, -0.938716, -2.2391, -0.521834, 18.3554, -1.4366, -2.31193, 8.15333, -10.4238, 2.95517, 1.10825, -7.31918, 0.564748, -1.47559, 8.02063, 0.899458, 3.26968, -1.2928, -2.99601, 1.83164, -7.36561, -11.2991, 1.04657, -14.1728, -4.64706, 0.335731, -2.64817, 4.64624, -0.481106, 0.675771, 1.14767, -0.333291, -1.68423, -4.69971, -5.24891, -11.1218, -4.27115, -15.8345, -9.23738, -1.60449, 7.44888, 4.91473, 8.49855, -10.7671, 1.70813, 11.7141, 9.70894, -8.17999, 3.92698, -4.5875, 0.65642, 0.619218, 4.4568, -7.00142, 0.601038, 0.114035, -1.94455, -0.0672088, -3.39944, -1.30334, -2.08665, -0.628929, 24.2593, -8.29143, -8.44314, 0.0772322, 2.4632, -0.312346, 4.91687, -7.11571, 7.00512, -8.92913, 0.00106222, 2.86561, 0.676453, 0.748081, -4.48622, -2.37739, -4.91542, -5.06495, 3.38414, 10.3163, -12.6977, -14.9623, -4.71176, -1.22465, -0.201641, 10.8555, 0.155565, -0.0179445, 4.71539, -9.48083, -0.00987132, -0.729881, 1.60171, 0.455055, 6.14497, 1.30354, -1.31688, -2.16028, -0.403262, 2.80152, 2.17042, -0.103148, -11.8083, 3.43518, 0.249137, 0.351981, -11.6694, -4.02659, -2.93277, -1.01757, -11.288, 7.32038, -2.61507, 6.71098, 3.06677, -0.128662, 3.39618, -3.24998, -5.77008, -5.65774, -2.97513, 7.26326, 6.89689, -10.2967, -3.03371, 6.91857, -11.7973, 3.14808, 2.87469, -8.20836, 0.257987, -7.08852, -0.153035, -0.123495, 1.44855, -1.73184, 6.81334, -3.90797, 0.339622, 1.04241, -8.54655, 2.8409, -0.25443, 1.34806, 0.312652, -0.0462266, 0.198825, -0.144105, -1.00671, -2.76867, 4.71003, 6.30025, -0.0789472, -1.1952, 9.596, 6.07486, 0.629138, 0.806366, -0.530566, -3.59107, -1.40677, 1.82214, 1.06323, 1.73084, 1.5576, 1.73873,
2, -2.29743, 0.455218, 0.389587, 2.11691, -11.3049, -27.726, 7.36301, -0.329557, 0.99829, -3.27946, 2.61819, 0.0787121, -9.56682, 9.16302, -4.77624, -0.10994, 4.45322, 18.2578, 3.65756, 7.94825, 9.87883, -1.58001, -20.983, 11.1796, -4.16225, 13.5965, 3.507, -7.89237, 7.70791, -0.45631, -2.80668, -4.65232, -5.63132, -1.87743, -4.47821, -1.04367, 36.7108, -2.87321, -4.62385, 16.3067, -20.8476, 5.91035, 2.2165, -14.6384, 1.12949, -2.95118, 16.0412, 1.79892, 6.53936, -2.5856, -5.99201, 3.66329, -14.7312, -22.5983, 2.09314, -28.3457, -9.29412, 0.671462, -5.29634, 9.29248, -0.962211, 1.35154, 2.29533, -0.666582, -3.36847, -9.39941, -10.4978, -22.2436, -8.5423, -31.669, -18.4747, -3.20899, 14.8978, 9.82946, 16.9971, -21.5342, 3.41627, 23.4283, 19.4179, -16.36, 7.85396, -9.17499, 1.31284, 1.23844, 8.9136, -14.0028, 1.20207, 0.228069, -3.8891, -0.134418, -6.79888, -2.60668, -4.1733, -1.25786, 48.5185, -16.5829, -16.8863, 0.154464, 4.9264, -0.624692, 9.83374, -14.2314, 14.0102, -17.8583, 0.00212425, 5.73122, 1.3529, 1.49616, -8.97244, -4.75478, -9.83083, -10.1299, 6.76829, 20.6325, -25.3954, -29.9246, -9.42352, -2.44931, -0.403282, 21.7109, 0.31113, -0.0358894, 9.43078, -18.9617, -0.0197426, -1.45976, 3.20342, 0.910108, 12.2899, 2.60708, -2.63377, -4.32056, -0.806523, 5.60304, 4.34083, -0.206297, -23.6166, 6.87035, 0.498274, 0.70396, -23.3389, -8.05319, -5.86554, -2.03513, -22.5759, 14.6407, -5.23015, 13.422, 6.13353, -0.257325, 6.79235, -6.49996, -11.5402, -11.3155, -5.95025, 14.5265, 13.7938, -20.5934, -6.06742, 13.8371, -23.5945, 6.29615, 5.74938, -16.4167, 0.515975, -14.177, -0.306069, -0.24699, 2.8971, -3.46369, 13.6267, -7.81594, 0.679243, 2.08483, -17.0931, 5.6818, -0.508859, 2.69611, 0.625303, -0.0924535, 0.397649, -0.288211, -2.01342, -5.53733, 9.42006, 12.6005, -0.157894, -2.39039, 19.192, 12.1497, 1.25827, 1.61273, -0.530566, -3.59107, -1.40677, 1.82214, 1.06323, 1.73084, 1.5576, 1.73873,
3, -4.59487, 0.910435, 0.779173, 4.23382, -22.6097, -55.4519, 14.726, -0.659114, 1.99658, -6.55893, 5.23638, 0.157424, -19.1336, 18.326, -9.55248, -0.219881, 8.90643, 36.5156, 7.31513, 15.8965, 19.7577, -3.16003, -41.966, 22.3592, -8.32449, 27.1929, 7.01401, -15.7847, 15.4158, -0.91262, -5.61336, -9.30463, -11.2626, -3.75486, -8.95641, -2.08733, 73.4215, -5.74641, -9.2477, 32.6133, -41.6951, 11.8207, 4.433, -29.2767, 2.25899, -5.90236, 32.0825, 3.59783, 13.0787, -5.1712, -11.984, 7.32657, -29.4624, -45.1966, 4.18627, -56.6914, -18.5882, 1.34292, -10.5927, 18.585, -1.92442, 2.70308, 4.59066, -1.33316, -6.73694, -18.7988, -20.9956, -44.4871, -17.0846, -63.3381, -36.9495, -6.41797, 29.7955, 19.6589, 33.9942, -43.0684, 6.83253, 46.8565, 38.8357, -32.72, 15.7079, -18.35, 2.62567, 2.47687, 17.8272, -28.0057, 2.40415, 0.456138, -7.7782, -0.268837, -13.5978, -5.21337, -8.3466, -2.51572, 97.0371, -33.1657, -33.7725, 0.308928, 9.8528, -1.24938, 19.6675, -28.4628, 28.0205, -35.7165, 0.00424827, 11.4624, 2.70581, 2.99232, -17.9449, -9.50956, -19.6617, -20.2598, 13.5366, 41.265, -50.7908, -59.8491, -18.847, -4.89861, -0.806565, 43.4218, 0.622259, -0.0717791, 18.8616, -37.9233, -0.0394851, -2.91952, 6.40683, 1.82022, 24.5799, 5.21415, -5.26753, -8.64112, -1.61305, 11.2061, 8.68165, -0.412595, -47.2331, 13.7407, 0.996547, 1.40792, -46.6777, -16.1064, -11.7311, -4.07027, -45.1518, 29.2815, -10.4603, 26.8439, 12.2671, -0.51465, 13.5847, -12.9999, -23.0803, -22.631, -11.9005, 29.053, 27.5875, -41.1869, -12.1348, 27.6743, -47.189, 12.5923, 11.4988, -32.8334, 1.03195, -28.3541, -0.612137, -0.493979, 5.7942, -6.92737, 27.2533, -15.6319, 1.35849, 4.16965, -34.1862, 11.3636, -1.01772, 5.39221, 1.25061, -0.184907, 0.795297, -0.576422, -4.02684, -11.0747, 18.8401, 25.201, -0.315788, -4.78078, 38.384, 24.2994, 2.51655, 3.22546, -0.530566, -3.59107, -1.40677, 1.82214, 1.06323, 1.73084, 1.5576, 1.73873,
4, -9.18973, 1.82087, 1.55835, 8.46763, -45.2195, -110.904, 29.452, -1.31823, 3.99316, -13.1179, 10.4728, 0.314847, -38.2673, 36.6521, -19.105, -0.439762, 17.8129, 73.0312, 14.6302, 31.793, 39.5153, -6.32006, -83.9319, 44.7184, -16.649, 54.3858, 14.028, -31.5695, 30.8316, -1.82524, -11.2267, -18.6093, -22.5253, -7.50972, -17.9128, -4.17467, 146.843, -11.4928, -18.4954, 65.2266, -83.3903, 23.6414, 8.866, -58.5534, 4.51797, -11.8047, 64.165, 7.19566, 26.1574, -10.3424, -23.968, 14.6531, -58.9249, -90.3931, 8.37254, -113.383, -37.1765, 2.68585, -21.1854, 37.1699, -3.84884, 5.40616, 9.18132, -2.66633, -13.4739, -37.5976, -41.9912, -88.9743, -34.1692, -126.676, -73.899, -12.8359, 59.591, 39.3178, 67.9883, -86.1368, 13.6651, 93.713, 77.6715, -65.4399, 31.4158, -36.6999, 5.25135, 4.95374, 35.6544, -56.0113, 4.80829, 0.912275, -15.5564, -0.537674, -27.1955, -10.4267, -16.6932, -5.03143, 194.074, -66.3315, -67.5451, 0.617856, 19.7056, -2.49877, 39.335, -56.9257, 56.041, -71.433, 0.00849632, 22.9249, 5.41161, 5.98464, -35.8897, -19.0191, -39.3233, -40.5196, 27.0731, 82.53, -101.582, -119.698, -37.6941, -9.79723, -1.61313, 86.8437, 1.24452, -0.143558, 37.7231, -75.8466, -0.0789703, -5.83905, 12.8137, 3.64043, 49.1597, 10.4283, -10.5351, -17.2822, -3.22609, 22.4122, 17.3633, -0.82519, -94.4662, 27.4814, 1.99309, 2.81584, -93.3555, -32.2127, -23.4622, -8.14053, -90.3036, 58.563, -20.9206, 53.6878, 24.5341, -1.0293, 27.1694, -25.9998, -46.1606, -45.2619, -23.801, 58.1061, 55.1751, -82.3738, -24.2697, 55.3486, -94.3781, 25.1846, 22.9975, -65.6668, 2.0639, -56.7082, -1.22427, -0.987959, 11.5884, -13.8547, 54.5067, -31.2637, 2.71697, 8.33929, -68.3724, 22.7272, -2.03543, 10.7844, 2.50121, -0.369815, 1.59059, -1.15284, -8.05367, -22.1493, 37.6802, 50.402, -0.631577, -9.56157, 76.768, 48.5989, 5.0331, 6.45091, -0.530566, -3.59107, -1.40677, 1.82214, 1.06323, 1.73084, 1.5576, 1.73873,
5, -18.3795, 3.64174, 3.11669, 16.9353, -90.439, -221.808, 58.904, -2.63646, 7.98632, -26.2357, 20.9455, 0.629694, -76.5345, 73.3042, -38.2099, -0.879526, 35.6257, 146.062, 29.2605, 63.586, 79.0306, -12.6401, -167.864, 89.4368, -33.298, 108.772, 28.056, -63.1389, 61.6632, -3.65048, -22.4534, -37.2185, -45.0505, -15.0194, -35.8256, -8.34934, 293.686, -22.9856, -36.9908, 130.453, -166.781, 47.2827, 17.732, -117.107, 9.03595, -23.6094, 128.33, 14.3913, 52.3148, -20.6848, -47.9361, 29.3063, -117.85, -180.786, 16.7451, -226.765, -74.3529, 5.37169, -42.3707, 74.3398, -7.69768, 10.8123, 18.3626, -5.33266, -26.9477, -75.1953, -83.9825, -177.949, -68.3384, -253.352, -147.798, -25.6719, 119.182, 78.6356, 135.977, -172.274, 27.3301, 187.426, 155.343, -130.88, 62.8316, -73.3999, 10.5027, 9.90747, 71.3088, -112.023, 9.61659, 1.82455, -31.1128, -1.07535, -54.391, -20.8535, -33.3864, -10.0629, 388.148, -132.663, -135.09, 1.23571, 39.4112, -4.99754, 78.6699, -113.851, 112.082, -142.866, 0.0169924, 45.8497, 10.8232, 11.9693, -71.7795, -38.0382, -78.6467, -81.0391, 54.1463, 165.06, -203.163, -239.396, -75.3882, -19.5945, -3.22626, 173.687, 2.48904, -0.287117, 75.4463, -151.693, -0.157941, -11.6781, 25.6273, 7.28086, 98.3195, 20.8566, -21.0701, -34.5645, -6.45218, 44.8243, 34.7266, -1.65038, -188.932, 54.9628, 3.98619, 5.63167, -186.711, -64.4255, -46.9243, -16.2811, -180.607, 117.126, -41.8412, 107.376, 49.0682, -2.0586, 54.3388, -51.9997, -92.3212, -90.5239, -47.602, 116.212, 110.35, -164.748, -48.5393, 110.697, -188.756, 50.3692, 45.995, -131.334, 4.1278, -113.416, -2.44855, -1.97592, 23.1768, -27.7095, 109.013, -62.5275, 5.43394, 16.6786, -136.745, 45.4544, -4.07087, 21.5688, 5.00242, -0.739629, 3.18119, -2.30569, -16.1073, -44.2987, 75.3604, 100.804, -1.26315, -19.1231, 153.536, 97.1977, 10.0662, 12.9018, -0.530566, -3.59107, -1.40677, 1.82214, 1.06323, 1.73084, 1.5576, 1.73873,
6, -36.7589, 7.28347, 6.23338, 33.8705, -180.878, -443.615, 117.808, -5.27291, 15.9726, -52.4714, 41.891, 1.25939, -153.069, 146.608, -76.4198, -1.75905, 71.2514, 292.125, 58.521, 127.172, 158.061, -25.2802, -335.728, 178.874, -66.5959, 217.543, 56.112, -126.278, 123.326, -7.30096, -44.9068, -74.437, -90.101, -30.0389, -71.6513, -16.6987, 587.372, -45.9713, -73.9816, 260.906, -333.561, 94.5655, 35.464, -234.214, 18.0719, -47.2189, 256.66, 28.7826, 104.63, -41.3696, -95.8721, 58.6126, -235.7, -361.572, 33.4902, -453.531, -148.706, 10.7434, -84.7414, 148.68, -15.3954, 21.6246, 36.7253, -10.6653, -53.8955, -150.391, -167.965, -355.897, -136.677, -506.705, -295.596, -51.3438, 238.364, 157.271, 271.953, -344.547, 54.6603, 374.852, 310.686, -261.76, 125.663, -146.8, 21.0054, 19.8149, 142.618, -224.045, 19.2332, 3.6491, -62.2255, -2.1507, -108.782, -41.7069, -66.7728, -20.1257, 776.296, -265.326, -270.18, 2.47142, 78.8224, -9.99507, 157.34, -227.703, 224.164, -285.732, 0.0339846, 91.6995, 21.6464, 23.9386, -143.559, -76.0765, -157.293, -162.078, 108.293, 330.12, -406.326, -478.793, -150.776, -39.1889, -6.45252, 347.375, 4.97807, -0.574235, 150.893, -303.386, -0.315881, -23.3562, 51.2546, 14.5617, 196.639, 41.7132, -42.1402, -69.1289, -12.9044, 89.6486, 69.4532, -3.30076, -377.865, 109.926, 7.97237, 11.2633, -373.422, -128.851, -93.8486, -32.5621, -361.215, 234.252, -83.6823, 214.751, 98.1365, -4.11721, 108.678, -103.999, -184.642, -181.048, -95.204, 232.424, 220.7, -329.495, -97.0787, 221.394, -377.512, 100.738, 91.9901, -262.667, 8.2556, -226.833, -4.89709, -3.95184, 46.3536, -55.419, 218.027, -125.055, 10.8679, 33.3572, -273.49, 90.9087, -8.14174, 43.1377, 10.0048, -1.47926, 6.36238, -4.61137, -32.2147, -88.5973, 150.721, 201.608, -2.52631, -38.2463, 307.072, 194.395, 20.1324, 25.8036, -0.530566, -3.59107, -1.40677, 1.82214, 1.06323, 1.73084, 1.5576, 1.73873,
7, -73.5178, 14.5669, 12.4668, 67.7411, -361.756, -887.231, 235.616, -10.5458, 31.9453, -104.943, 83.7821, 2.51877, -306.138, 293.217, -152.84, -3.5181, 142.503, 584.25, 117.042, 254.344, 316.122, -50.5605, -671.455, 357.747, -133.192, 435.087, 112.224, -252.556, 246.653, -14.6019, -89.8137, -148.874, -180.202, -60.0778, -143.303, -33.3973, 1174.74, -91.9426, -147.963, 521.813, -667.122, 189.131, 70.928, -468.427, 36.1438, -94.4378, 513.32, 57.5653, 209.259, -82.7392, -191.744, 117.225, -471.399, -723.145, 66.9803, -907.062, -297.412, 21.4868, -169.483, 297.359, -30.7907, 43.2492, 73.4505, -21.3306, -107.791, -300.781, -335.93, -711.794, -273.353, -1013.41, -591.192, -102.688, 476.728, 314.543, 543.907, -689.095, 109.321, 749.704, 621.372, -523.519, 251.327, -293.6, 42.0108, 39.6299, 285.235, -448.09, 38.4663, 7.2982, -124.451, -4.30139, -217.564, -83.4138, -133.546, -40.2514, 1552.59, -530.652, -540.36, 4.94285, 157.645, -19.9901, 314.68, -455.405, 448.328, -571.464, 0.0679689, 183.399, 43.2929, 47.8771, -287.118, -152.153, -314.587, -324.157, 216.585, 660.24, -812.653, -957.586, -301.553, -78.3778, -12.905, 694.749, 9.95615, -1.14847, 301.785, -606.773, -0.631762, -46.7124, 102.509, 29.1234, 393.278, 83.4264, -84.2805, -138.258, -25.8087, 179.297, 138.906, -6.60152, -755.73, 219.851, 15.9447, 22.5267, -746.844, -257.702, -187.697, -65.1242, -722.429, 468.504, -167.365, 429.503, 196.273, -8.23441, 217.355, -207.999, -369.285, -362.095, -190.408, 464.849, 441.4, -658.99, -194.157, 442.788, -755.024, 201.477, 183.98, -525.335, 16.5112, -453.665, -9.79418, -7.90367, 92.7072, -110.838, 436.053, -250.11, 21.7358, 66.7143, -546.979, 181.817, -16.2835, 86.2754, 20.0097, -2.95852, 12.7248, -9.22275, -64.4294, -177.195, 301.442, 403.216, -5.05261, -76.4925, 614.144, 388.791, 40.2648, 51.6073, -0.530566, -3.59107, -1.40677, 1.82214, 1.06323, 1.73084, 1.5576, 1.73873,
8, -147.036, 29.1339, 24.9335, 135.482, -723.512, -1774.46, 471.232, -21.0917, 63.8905, -209.886, 167.564, 5.03755, -612.276, 586.433, -305.679, -7.03621, 285.006, 1168.5, 234.084, 508.688, 632.245, -101.121, -1342.91, 715.495, -266.384, 870.173, 224.448, -505.111, 493.306, -29.2039, -179.627, -297.748, -360.404, -120.156, -286.605, -66.7947, 2349.49, -183.885, -295.926, 1043.63, -1334.24, 378.262, 141.856, -936.854, 72.2876, -188.876, 1026.64, 115.131, 418.519, -165.478, -383.488, 234.45, -942.798, -1446.29, 133.961, -1814.12, -594.823, 42.9735, -338.966, 594.719, -61.5814, 86.4985, 146.901, -42.6613, -215.582, -601.562, -671.86, -1423.59, -546.707, -2026.82, -1182.38, -205.375, 953.457, 629.085, 1087.81, -1378.19, 218.641, 1499.41, 1242.74, -1047.04, 502.653, -587.199, 84.0216, 79.2598, 570.47, -896.181, 76.9327, 14.5964, -248.902, -8.60279, -435.128, -166.828, -267.091, -80.5029, 3105.19, -1061.3, -1080.72, 9.88569, 315.29, -39.9803, 629.359, -910.81, 896.655, -1142.93, 0.135938, 366.798, 86.5858, 95.7542, -574.236, -304.306, -629.173, -648.313, 433.17, 1320.48, -1625.31, -1915.17, -603.105, -156.756, -25.8101, 1389.5, 19.9123, -2.29694, 603.57, -1213.55, -1.26352, -93.4247, 205.019, 58.2469, 786.556, 166.853, -168.561, -276.516, -51.6174, 358.595, 277.813, -13.203, -1511.46, 439.703, 31.8895, 45.0534, -1493.69, -515.404, -375.395, -130.248, -1444.86, 937.008, -334.729, 859.005, 392.546, -16.4688, 434.71, -415.997, -738.57, -724.191, -380.816, 929.697, 882.801, -1317.98, -388.315, 885.577, -1510.05, 402.953, 367.96, -1050.67, 33.0224, -907.33, -19.5884, -15.8073, 185.414, -221.676, 872.107, -500.22, 43.4715, 133.429, -1093.96, 363.635, -32.5669, 172.551, 40.0194, -5.91704, 25.4495, -18.4455, -128.859, -354.389, 602.883, 806.432, -10.1052, -152.985, 1228.29, 777.582, 80.5295, 103.215, -0.530566, -3.59107, -1.40677, 1.82214, 1.06323, 1.73084, 1.5576, 1.73873,
9, -294.071, 58.2678, 49.8671, 270.964, -1447.02, -3548.92, 942.464, -42.1833, 127.781, -419.771, 335.128, 10.0751, -1224.55, 1172.87, -611.359, -14.0724, 570.011, 2337, 468.168, 1017.38, 1264.49, -202.242, -2685.82, 1430.99, -532.768, 1740.35, 448.896, -1010.22, 986.611, -58.4077, -359.255, -595.496, -720.808, -240.311, -573.21, -133.589, 4698.98, -367.77, -591.853, 2087.25, -2668.49, 756.524, 283.712, -1873.71, 144.575, -377.751, 2053.28, 230.261, 837.037, -330.957, -766.977, 468.9, -1885.6, -2892.58, 267.921, -3628.25, -1189.65, 85.9471, -677.931, 1189.44, -123.163, 172.997, 293.802, -85.3225, -431.164, -1203.12, -1343.72, -2847.18, -1093.41, -4053.64, -2364.77, -410.75, 1906.91, 1258.17, 2175.63, -2756.38, 437.282, 2998.82, 2485.49, -2094.08, 1005.31, -1174.4, 168.043, 158.52, 1140.94, -1792.36, 153.865, 29.1928, -497.804, -17.2056, -870.256, -333.655, -534.182, -161.006, 6210.37, -2122.61, -2161.44, 19.7714, 630.579, -79.9606, 1258.72, -1821.62, 1793.31, -2285.86, 0.271875, 733.596, 173.172, 191.508, -1148.47, -608.612, -1258.35, -1296.63, 866.34, 2640.96, -3250.61, -3830.34, -1206.21, -313.511, -51.6202, 2779, 39.8246, -4.59388, 1207.14, -2427.09, -2.52705, -186.849, 410.037, 116.494, 1573.11, 333.706, -337.122, -553.031, -103.235, 717.189, 555.626, -26.4061, -3022.92, 879.405, 63.779, 90.1068, -2987.37, -1030.81, -750.789, -260.497, -2889.72, 1874.02, -669.459, 1718.01, 785.092, -32.9377, 869.421, -831.995, -1477.14, -1448.38, -761.632, 1859.39, 1765.6, -2635.96, -776.629, 1771.15, -3020.1, 805.907, 735.921, -2101.34, 66.0448, -1814.66, -39.1767, -31.6147, 370.829, -443.352, 1744.21, -1000.44, 86.9431, 266.857, -2187.92, 727.27, -65.1339, 345.102, 80.0387, -11.8341, 50.899, -36.891, -257.717, -708.778, 1205.77, 1612.86, -20.2104, -305.97, 2456.58, 1555.16, 161.059, 206.429, -0.530566, -3.59107, -1.40677, 1.82214, 1.06323, 1.73084, 1.5576, 1.73873,
