2,27040,0
2,18175,0
2,1255,1.45726
2,8489,0.0382409
2,25717,0.870327
2,1164,0.462983
2,25717,0.870327
2,1255,1.45726
2,24050,2.78793
2,13440,3.41408
2,20452,3.88747
2,24983,4.07315
2,18891,5.0125
2,21655,0.087577
2,1164,0.462983
2,25717,0.870327
2,30711,3.19713
2,2446,0.980824
2,30711,3.19713
2,11215,3.54987
2,29792,4.65152
2,29342,3.13551
2,30711,3.19713
2,11215,3.54987
2,29792,4.65152
2,4831,4.09405
2,29792,4.65152
2,15260,3.79666
2,4831,4.09405
2,29792,4.65152
2,12467,4.81483
2,2661,7.63182
2,25949,5.12415
2,2661,7.63182
2,2328,8.63421
2,26655,8.95393
2,12647,9.4008
2,27149,6.34133
2,2661,7.63182
2,2328,8.63421
2,30540,7.7176
2,2328,8.63421
2,24940,9.27563
2,15720,7.73989
2,2328,8.63421
2,24940,9.27563
2,3365,9.63081
2,27087,4.54567
2,29792,4.65152
2,26846,7.78365
